INSTNM,CITY,STABBR,PREDDEG,ADDR
Image Maker Beauty Institute,Hendersonville,TN,1,"139 Maple Row Boulevard, Suite 208"
Dalton Institute of Esthetics and Cosmetology,Dalton,GA,1,"100 West Walnut Avenue Suite 126"
CAAN Academy of Nursing,Matteson,IL,1,"4747 Lincoln Mall Dr. - Suite 420"
Martinsburg College,Martinsburg,WV,1,"341 Aikens Center"
Alhambra Medical University,Alhambra,CA,4,"2215 W. Mission Road"
Central Yeshiva Beth Joseph,Brooklyn,NY,3,"1502 Avenue N"
Garden State Science and Technology Institute,Jersey City,NJ,1,"591 Summit Avenue, Suite 705"
Barber Tech Academy,Orangeburg,SC,1,"1650 Russell Street"
Abraham Lincoln University,Glendale,CA,3,"100 West Broadway, Suite 600"
Med Academy,Hialeah,FL,2,"3418 West 84th Street, Suite 106"
Huntington University of Health Sciences,Knoxville,TN,3,"118 Legacy View Way"
Sonoran Desert Institute,Tempe,AZ,2,"1555 W University Dr., Suite 103"
Yeshivas Maharit D'Satmar,Monroe,NY,3,"475 County Route 105"
Natural Images Beauty College,Clute,TX,1,"236 Old Angleton Road"
Textures Institute of Cosmetology,Indianapolis,IN,1,"8325 North Michigan Road"
Learning Bridge Career Institute,Houma,LA,1,"1340 West Tunnel Boulevard Suite 110"
PiBerry Institute,Homestead,FL,1,"30356 Old Dixie Hwy"
Ea La Mar's Cosmetology & Barber College,Kansas City,MO,1,"1510/1504 Prospect Ave"
Regina Webb Academy,Bowling Green,KY,1,"2425 Scottsville Road"
DeHart Technical School,Modesto,CA,1,"311 Bitritto Way"
Medical Career & Technical College,Richmond,KY,1,"630 Eastern Bypass"
Center for Neurosomatic Studies,Clearwater,FL,1,"13923 Icot Boulevard, Suite814"
Focus Personal Training Institute,New York,NY,1,"115 West 27th Street, 11th Floor"
Hair Academy School of Barbering & Beauty,Newark,DE,1,"160 Pencader Plaza"
Fosbre Academy of Hair Design,Olympia,WA,1,"2703 Capital Mall Dr SW"
National Personal Training Institute,Orlando,FL,1,"3451 Technological Ave Suite 3"
Mission Beauty Institute,Mission,TX,1,"1123 East 9th Street"
Elim Bible Institute and College,Lima,NY,1,"7245 College Street"
Beth Medrash of Asbury Park,Lakewood,NJ,3,"1500 Vermont Avenue"
Hope College of Arts and Sciences,Pompano Beach,FL,2,"1200 SW 3rd Street"
Yeshiva Gedolah Shaarei Shmuel,Lakewood,NJ,2,"511 Ocean Avenue"
Premier Barber Institute,Norristown,PA,1,"573 East Main Street"
International Beauty Education Center,Airway Heights,WA,1,"12832 West Sunset Highway"
Claremont Lincoln University,Claremont,CA,4,"150 West First Street"
Phipps Academy of Barbering,Richton Park,IL,1,"3732 Sauk Trail Road"
Hoss Lee Academy,Roseville,CA,1,"200 Whyte Avenue"
Indiana Wellness College,Carmel,IN,1,"10585 N. Meridian Street, Suite 102"
Kenny's Academy of Barbering,Indianapolis,IN,1,"2150 Lafayette Road"
Seattle Film Institute,Seattle,WA,3,"3210 16th Avenue W"
Arkansas Colleges of Health Education,Fort Smith,AR,4,"7000 Chad Colley Blvd."
Burrell College of Osteopathic Medicine,Las Cruces,NM,4,"3501 Arrowhead Drive"
California College of Music,Pasadena,CA,1,"42 South Catalina Avenue"
California Health Sciences University,Clovis,CA,4,"120 North Clovis Avenue"
Christian Culinary Academy,Cannon Beach,OR,1,"289 N Spruce St #1484"
Glitz School of Cosmetology,Las Cruces,NM,1,"2755 E. Idaho"
Indiana Wesleyan University-National & Global,Marion,IN,3,"1900 West 50th Street"
Northeast Lakeview College,Universal City,TX,2,"1201 Kitty Hawk Rd"
Paul Mitchell the School-Jessup,Jessup,MD,1,"7351 Assateague Drive, Suite 370"
John Patrick University of Health and Applied Sciences,South Bend,IN,3,"100 East Wayne Street, Suite 140"
University of Saint Katherine,San Marcos,CA,3,"277 Rancheros Drive, Suite 200"
Teachers College of San Joaquin,Stockton,CA,1,"2721 Transworld Dr."
Totally Cosmo School of Modern Cosmetology,Broken Bow,OK,1,"110 N Broadway"
U.S. Truck Driver Training School,Sterling Heights,MI,1,"6500 15 Mile Road"
University of the People,Pasadena,CA,3,"595 E Colorado Blvd Suite 623"
South Dade Technical College-South Dade Skills Center Campus,HOMESTEAD,FL,1,"28300 S.W. 152nd Avenue"
Wongu University of Oriental Medicine,Las Vegas,NV,4,"8620 South Eastern Avenue"
Alabama School of Nail Technology & Cosmetology,Jackson,AL,1,"202 Commerce Street"
Tulsa Technology Center,Tulsa,OK,1,"3420 S Memorial Drive"
Ross Medical Education Center-Elyria,Elyria,OH,1,"120 Market Drive"
Ross Medical Education Center-Lafayette,Lafayette,IN,1,"2621 Maple Point Drive"
Ross Medical Education Center-Midland,Midland,MI,1,"2600 N. Saginaw Suite B"
Paul Mitchell the School-Clear Lake,Webster,TX,1,"20807 Gulf Fwy"
Paul Mitchell the School-Nampa,Nampa,ID,1,"16803 North Marketplace Boulevard"
Academy of Beauty Professionals,Madison,WI,1,"6414 Odana Road"
Academy of Beauty Professionals,Appleton,WI,1,"525 Westhill Boulevard"
Academy of Beauty Professionals,Green Bay,WI,1,"2575 N Mason Street"
Kenneth Shuler School of Cosmetology-Goose Creek,Goose Creek,SC,1,"98 Davenport Street Suite 10"
Clovis Community College,Fresno,CA,2,"10309 North Willow Avenue"
Boca Beauty Academy-Parkland,Parkland,FL,1,"7271 North State Road 7"
American Beauty Academy-West Valley Campus,West Valley City,UT,1,"3695 S Redwood Rd Ste #9"
Caribbean Aviation Training Institute Inc,Carolina,PR,1,"Ave. Jose A. Santana, Ed. World Cargo, 2nd Floor Base Muniz"
The College of Health Care Professions-McAllen Campus,McAllen,TX,1,"1917 W. Nolana Ave Suite 100"
Institute of Buddhist Studies,Berkeley,CA,4,"2140 Durant Avenue"
Chamberlain University-North Carolina,Charlotte,NC,3,"2015 Ayrsley Town Boulevard, Suite 204"
Chamberlain University-California,Rancho Cordova,CA,3,"10971 Sun Center"
Spartan College of Aeronautics and Technology,Riverside,CA,1,"4130 Mennes Ave"
Purdue University Global,West Lafayette,IN,3,"2550 Northwestern Avenue, Suite 1100"
Pima Medical Institute-Dillon,Dillon,MT,1,"434 E. Poindexter Street"
Arthur's Beauty College,Jonesboro,AR,1,"1903 Grant Avenue Suites, K, L, M"
West Coast University-Center for Graduate Studies,Los Angeles,CA,4,"590 North Vermont Avenue"
Carolina University,Winston-Salem,NC,3,"420 S. Broad St."
National Personal Training Institute-Tampa,Tampa,FL,1,"8411 Sunstate Street"
Presbyterian Theological Seminary in America,Santa Fe Springs,CA,3,"15605 Carmenita Road"
HCI College,West Palm Beach,FL,1,"1764 North Congress Avenue, Suite 200"
Southern States University,San Diego,CA,1,"1094 Cuhady Place, #120"
America Evangelical University,Gardena,CA,3,"1204 W 163rd St"
Gadsden Technical College,Quincy,FL,1,"201 Martin Luther King Jr Boulevard"
Virginia University of Integrative Medicine,Vienna,VA,4,"1980 Gallows Road"
Nashville Film Institute,Nashville,TN,1,"191 Polk Avenue"
Los Angeles Academy of Figurative Art,Van Nuys,CA,3,"16926 Saticoy Street"
Westcliff University,Irvine,CA,3,"17877 Von Karman Ave, Suite 400"
World Class Academy of Beauty Careers,Tallahassee,FL,1,"516 West Orange Avenue"
Allied Health Careers Institute,Murfreesboro,TN,1,"1233 Commerce Park"
Sacramento Ultrasound Institute,Sacramento,CA,1,"2233 Watt Avenue #150"
Regan Career Institute,El Monte,CA,2,"11350 Valley Boulevard"
Bolivar Technical College,Bolivar,MO,2,"1135 North Oakland Avenue"
Baldy View Regional Occupational Program,Ontario,CA,1,"1501 Bon View Avenue"
MAK Beauty Institute,Cumming,GA,1,"570 Lakeland Plaza"
Reformed University,Lawrenceville,GA,3,"1724 Atkinson Road"
Mobile Technical Training,South Hackensack,NJ,1,"460 US Highway 46"
American Barber and Beauty Academy,Reading,PA,1,"733 Lancaster Avenue"
Master's Barber & Styling College,Old Hickory,TN,1,"14665 D Lebanon Road"
Yeshiva Shaar Ephraim,Monsey,NY,2,"178 Maple Avenue"
California Institute of Arts & Technology,San Diego,CA,1,"2820 Camino Del Rio South Suite 100"
Elite Cosmetology Barber & Spa Academy,Yakima,WA,1,"2606 West Nob Hill Boulevard"
Cutting Edge Academy,Succasunna,NJ,1,"45 Sunset Strip and Route 10 East"
Yeshiva Bais Aharon,Lakewood,NJ,3,"905 Park Avenue"
Mechon L'hoyroa,Monsey,NY,3,"168 Maple Avenue"
My Beauty & Barber College,Sacramento,CA,1,"6100 Mack Road St. F"
Elyon College,Brooklyn,NY,2,"1400 West 6th Street"
Western Michigan University Homer Stryker M.D. School of Medicine,Kalamazoo,MI,4,"300 Portage Street"
Harmony Health Care Institute,Merrimack,NH,1,"10 Al Paul Lane, Suite 204"
American Beauty Schools,Miami,FL,1,"8100 Southwest 8th Street"
Hogan Institute of Cosmetology and Esthetics,Lilburn,GA,1,"495 Indian Trail Road Northwest"
J's Barber College,New Iberia,LA,1,"1207 Center Street"
Ann Webb Skin Institute,Austin,TX,1,"11701 Jollyville Road"
Apex Academy Hair Skin Nails School of Cosmetology,Ontario,OH,1,"1788 West Fourth Street"
The Esthetic Institute,Vienna,VA,1,"8381 Old Courthouse Road STE 200"
Kor Beauty Academy,Peoria,AZ,1,"16610 North 75th Avenue #103"
EduMed Partners,Goodlettsville,TN,1,"907 Rivergate Pky. Suite D2"
Massage Institute of Memphis,Memphis,TN,1,"2076 Union Avenue, Suite 202"
Metro Detroit Barber College,Detroit,MI,1,"7443 W. McNichols"
Digital Media Institute,Shreveport,LA,1,"2031 Kings Highway"
Yeshiva Ohr Naftoli,New Windsor,NY,2,"701 Blooming Grove Turnpike"
Bais Medrash Mayan Hatorah,Lakewood,NJ,2,"101 Milton Street"
Allgood Beauty Institute,Frisco,TX,1,"9741 Preston Road Suite 106"
Ray J's College of Hair,Baton Rouge,LA,1,"1726 Wooddale Court"
Delta Designs Cosmetology School,Wynne,AR,1,"671 Addison Drive"
Gwinnett Institute,Orlando,FL,2,"1900 North Alafaya Trail"
Kansas City University,Joplin,MO,4,"2901 St. John's Boulevard"
Manuel and Theresa's School of Hair Design,Brenham,TX,1,"1315 Highway 105 #102"
Cincinnati School of Barbering & Hair Design,Cincinnati,OH,1,"6500 Colerain Avenue"
L Makeup Institute,Las Vegas,NV,1,"440 S. Rampart Blvd. B-130"
Peloton College,Arlington,TX,1,"1200 East Copeland Road"
Northern Technical College,Pine Bluff,AR,1,"2215 East Harding Ste 8 & 9"
Maine Media College,Rockport,ME,1,"70 Camden Street"
Purdue University Northwest,Hammond,IN,3,"2200 169th Street"
Ross Medical Education Center - Kalamazoo,Kalamazoo,MI,1,"5177 W. Main Street, Suite A"
Ross College-Canton,Canton,OH,1,"4300 Munson Street, NW"
Ross College-Grand Rapids North,Grand Rapids,MI,1,"1624 Woodworth NE"
American Institute-Somerset,Somerset,NJ,1,"80 Cottontail Lane"
Platt College-Anaheim,Anaheim,CA,2,"1551 South Douglass Road"
Advantage Career Institute,Eatontown,NJ,1,"215 Broad Street"
Bull City Durham Beauty and Barber College,Durham,NC,1,"931 E Main St"
Fortis College-Cutler Bay,Cutler Bay,FL,1,"19600 South Dixie Highway"
Yeshiva Kollel Tifereth Elizer,Brooklyn,NY,3,"1227 47th Street"
Strand Institute of Beauty & Esthetics,Portland,TX,1,"1018 Us Hwy 181"
Arkansas Welding Academy,Jacksonville,AR,1,"1920 North Redmond Road"
Unitech Training Academy-Baton Rouge,Baton Rouge,LA,1,"10551 Coursey Blvd"
Empire Beauty School-Tampa,Tampa,FL,1,"Brandon Crossings, 10083 East Adamo Drive"
Empire Beauty School-Lakeland,Lakeland,FL,1,"Northtowne Square, 5101 US Highway 98 N"
Galen College of Nursing-ARH,Hazard,KY,2,"100 Airport Gardens Drive"
The Chicago School of Professional Psychology at San Diego,San Diego,CA,4,"401 W. A Street at 1 Columbia Place"
Commercial Divers International,Goodyear,AZ,1,"4055 South Sarival Avenue"
Tricoci University of Beauty Culture-Janesville,Janesville,WI,1,"2310 W. Court Street"
Unlimited Cosmetology School,Hattiesburg,MS,1,"102 Broad Street"
Johnny Matthew's Hairdressing Training School,Salem,OR,1,"255 Liberty St NE"
The Culinary School of Fort Worth,Fort Worth,TX,1,"6550 Camp Bowie Blvd #110"
Centralia Beauty College,Centralia,WA,1,"217 S Tower Avenue"
University of Wisconsin-Milwaukee Flex,Milwaukee,WI,3,"2200 E Kenwood Blvd"
University of Wisconsin-Parkside Flex,Kenosha,WI,3,"900 Wood Rd"
Miller-Motte College-Edge Tech Academy,Arlington,TX,1,"2241 S Watson Rd #181"
Bnos Zion Of Bobov Seminary,Brooklyn,NY,1,"5000 14th Avenue"
ABC Adult School,Cerritos,CA,1,"12254 Cuesta Drive"
Polytech Adult Education,Woodside,DE,1,"823 Walnut Shade Road"
California Institute of Medical Science,Clovis,CA,1,"1175 Shaw Avenue # 103"
Union Bible College,Westfield,IN,3,"434 S. Union Street"
Pets Playground Grooming School,Pompano Beach,FL,1,"1294 N. Federal Highway"
San Bernardino Beauty College,San Bernardino,CA,1,"600 North Sierra Way"
Christina and Company Education Center,Lafayette,IN,1,"220 Meijer Drive"
Institute of Medical Ultrasound,Atlanta,GA,1,"229 Peachtree Street NE, Suite 700"
Mystros Barber Academy,Houston,TX,1,"1434 Ste. B Cypress Creek Parkway"
European Medical School of Massage,Sinking Spring,PA,1,"2921 Windmill Road Suite 1"
Yeshiva Gedolah Tiferes Boruch,North Plainfield,NJ,3,"21 Rockview Avenue"
Yeshiva Chemdas Hatorah,Lakewood,NJ,2,"950 Massachusetts Avenue"
Women's Institute of Torah Seminary and College,Baltimore,MD,3,"6602 Park Heights Avenue"
Yeshiva Gedolah Keren Hatorah,Lakewood,NJ,2,"1083 Brook Road"
ICOHS College,San Diego,CA,1,"1770 4th Avenue"
Neo-Esthetique European Institute,San Juan,PR,1,"Avenida Winston Churchill #305"
Lehigh Valley Barber School,Bethlehem,PA,1,"1517B Irene Street"
International Barber College,Chandler,AZ,1,"7200 West Chandler Boulevard"
Brown Beauty Barber School,Bessemer,AL,1,"1724 1st Avenue North"
Rexburg College of Massage Therapy,Rexburg,ID,1,"669 Pioneer Road"
Yeshiva Gedolah of Cliffwood,Keyport,NJ,3,"200 Center Street"
Goshen School of Cosmetology,Cleveland,MS,1,"710 North Davis Avenue"
IBS School of Cosmetology and Massage,Kahului,HI,1,"110 East Kaahumanu Avenue"
UR Beauty & Barber Academy,Sebring,FL,1,"3750 Emergency Lane STE3"
Urban Barber College,Concord,CA,1,"1809 Willow Pass Rd"
Yeshivas Emek Hatorah,Howell,NJ,3,"395 Kent Road"
Transitions Career Institute School of Nursing,Flushing,NY,1,"30-50 Whitestone Expressway STE 400"
Wilton Simpson Technical College,Brooksville,FL,1,"4057 California Street"
Stacey James Institute,Parker,CO,1,"16534 Keystone Boulevard, Unit C"
Meridian University,Petaluma,CA,4,"47 Sixth Street"
Seminary Bnos Chaim,Lakewood,NJ,1,"222 South Clover Street"
Avenue Academy A Cosmetology Institute,Albuquerque,NM,1,"1512 Eubank Boulevard"
Salon Professional Academy of San Antonio,San Antonio,TX,1,"16640 San Pedro Avenue"
Red Lake Nation College,Red Lake,MN,2,"15480 Migizi Drive"
Princess Institute of Beauty,Reedley,CA,1,"1605 East Manning Avenue"
Vogue International Academy,Houston,TX,1,"2703 Hwy 6 #135"
Independent Training & Apprenticeship Program,Sacramento,CA,1,"9856 Business Park Drive"
Victory Career College,Torrance,CA,1,"19401 South Vermont Avenue"
Winonah's International School of Cosmetology,Hoover,AL,1,"1870 Chace Drive"
Yeshiva Gedola Tiferes Yerachmiel,Lakewood,NJ,2,"911 Somerset Avenue"
Southeastern Esthetics Institute,Columbia,SC,1,"1644 Main St. Suite 1"
Installer Institute,Holly Hill,FL,1,"1524 Ridgewood Avenue"
Caris College,Jeffersonville,IN,1,"2780 Jefferson Centre Way, Suite 103"
Contra Costa Medical Career College,Antioch,CA,1,"4041 Lone Tree Way Suite 101"
Anousheh School of Hair,Binghamton,NY,1,"1152 Vestal Avenue"
Another Level Barbering and Cosmetology School,Petersburg,VA,1,"102 North Sycamore Street"
The Salon Professional Academy-Georgetown,Georgetown,TX,1,"901 South IH 35"
Elite Academy of Hair Design,Bridgeport,OH,1,"56104 National Rd., Suite 115"
Amslee Institute,Sarasota,FL,1,"5391 Lakewood Ranch Blvd Ste 203"
Champion Christian College,Hot Springs,AR,3,"600 Garland Avenue"
Chicago Professional Center,Prospect Heights,IL,1,"16 Piper Ln. Suite 127"
D&S School of Cosmetology,Waterford,MI,1,"4180 Elizabeth Lake Road"
DSDT,Detroit,MI,1,"1759 W. 20th Street"
Houston School of Carpentry,Houston,TX,1,"3522 Polk St"
Reiss-Davis Graduate School,Los Angeles,CA,4,"3200 Motor Ave."
GoodFellas Barber College,Little Rock,AR,1,"4306 Asher Avenue"
Escondido Adult School,Escondido,CA,1,"220 W Crest Street"
Poway Adult School,Poway,CA,1,"13626 Twin Peaks Road"
Vista Adult School,Vista,CA,1,"510 Sunset Drive"
The Salon Professional Academy-Delray Beach,Delray Beach,FL,1,"14610 South Military Trail, Ste G-4"
Lynnes Welding Training-Bismarck,Bismarck,ND,1,"4329 Centurion Drive Unit 9"
No Grease Barber School,Charlotte,NC,1,"3120 Wilkinson Blvd"
Pima Medical Institute-San Marcos,San Marcos,CA,1,"111 Campus Way"
EDP University of Puerto Rico-Villalba,Villalba,PR,2,"Road #149, Km. 54.2 Barrio Villalba Arriba"
Chicago School of Professional Psychology at Dallas,Richardson,TX,4,"2101 Waterview Parkway"
American Massage & Bodywork Institute,Vienna,VA,1,"1593 Spring Hill Road, Suite 210"
KCK Beauty & Barber Academy,Jacksonville,FL,1,"10592 Balmoral Circle East"
California College of Barbering and Cosmetology,Stockton,CA,1,"1024 E March Lane"
Texas Tech University Health Sciences Center-El Paso,El Paso,TX,3,"5001 El Paso Drive"
Ponce Health Sciences University-Centro Universitario de San Juan,Santurce,PR,4,"Calle Rosales, Esq San Antonio Parada 26 1/2"
The College of Health Care Professions-South San Antonio,San Antonio,TX,1,"1964 SW Military Drive"
Innovate Salon Academy,Ewing,NJ,1,"25 Scotch Road"
Chamberlain University-Louisiana,Jefferson,LA,3,"400 Labarre Road"
Drury University-College of Continuing Professional Studies,Springfield,MO,3,"900 North Benton Avenue"
Global Medical & Technical Training Institute,Miami,FL,1,"1830 NW 7th Street, Suite 200"
Salon Success Academy-West Covina,West Covina,CA,1,"112 Plaza Drive Suite 166"
Indiana Institute of Technology-College of Professional Studies,Fort Wayne,IN,3,"1600 E. Washington Blvd."
Advantage Technical College,San Juan,PR,1,"Ponce de Leon Avenue #818"
Institute of Culinary Education,Pasadena,CA,1,"521 East Green Street"
Universal Technical Institute-Bloomfield,Bloomfield,NJ,1,"1515 Broad Street"
Gould's Academy,Bartlett,TN,1,"8000 US Highway 64"
Urban Academy of Beauty,Rio Rancho,NM,1,"1001 Golf Course Road #104 & #105"
WellSpring School of Allied Health-Springfield,Springfield,MO,1,"3033 S Kansas Expressway"
Medical Career College of Northern California,Roseville,CA,1,"1220 Melody Lane"
Premiere International College,Fort Myers,FL,2,"2055 Central Avenue"
American Fitness and Nutrition Academy,Pasadena,CA,1,"350 South Lake Avenue"
San Diego Global Knowledge University,San Diego,CA,1,"1095 K Street, Suite B"
Global Tech College,Toledo,OH,2,"5555 Airport Hwy., Suite 130"
Crown Cutz Academy Bristol,Bristol,VA,1,"805 Commonwealth Avenue"
MCI,McAllen,TX,1,"304 South Colonel Rowe Boulevard"
Central Pennsylvania Diesel Institute,Liverpool,PA,1,"1718 Old Trail Road"
Bellasa Professional Institute,North Miami,FL,1,"744 NE 125th Street"
PMCA Pittsburgh Multicultural Cosmetology Academy,Pittsburgh,PA,1,"415 Smithfield Street"
Health and Technology Training Institute,Philadelphia,PA,1,"100 South Broad Street"
Yeshiva of Ocean,Greenfield Park,NY,2,"7120 Highway 52"
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,Brooklyn,NY,3,"1535 63rd Street"
Young Americans College of the Performing Arts,Corona,CA,2,"1112 Olympic Drive"
Pro Beauty Academy,Edison,NJ,1,"1655 Oak Tree Road, Suite 285A"
South Eastern Beauty Academy,Paintsville,KY,1,"318 Second Street"
Ohel Margulia Seminary,Monsey,NY,1,"22 Ashel Lane"
Montana Barber Institute,El Paso,TX,1,"1920 N Zaragoza Rd. Suite 101 - 103"
Yeshivat Hechal Shemuel,Brooklyn,NY,3,"1532 East 10th Street"
Professional University Dr. Carlos J. Borrero Rios,Hato Rey,PR,4,"656 Ponce de Leon Ave Floor 1"
American Institute of Healthcare & Technology,Stratford,CT,1,"480 Lordship Boulevard"
Premier Academy of Cosmetology,McAlester,OK,1,"910 North Main Street"
Yeshiva Gedolah of Woodlake Village,Lakewood,NJ,2,"199 Joe Parker Road"
Yeshiva Gedola Tiferes Yaakov Yitzchok,Lakewood,NJ,2,"65 Cross Street"
University of Arkansas System eVersity,Little Rock,AR,2,"2402 North University Avenue"
Careers Institute of America,Dallas,TX,1,"13614 Midway Road"
Houston Barber School,Houston,TX,1,"313 Rankin Road"
Health-Tech Institute of Memphis,Memphis,TN,1,"3874 Viscount Avenue, Suite 1"
MIXED Institute of Cosmetology & Barber,Sacramento,CA,1,"5950 Florin Road suite 103"
Vski Cosmetology School,Charleston,SC,1,"2070 Sam Rittenberg Boulevard"
Shear Perfection Academy of Cosmetology,Nashville,TN,1,"5620 Nolesville Pike"
New York Seminary,Brooklyn,NY,1,"911 McDonald Avenue"
Deluxe Barber College,San Antonio,TX,1,"12636 Nacogdoches Road"
Falcon Institute of Health and Science,Bethlehem,PA,1,"3045 Avenue B"
College Unbound,Providence,RI,3,"325 Public Street"
Midwest Barber College,Topeka,KS,1,"901 SW. 37th Street"
A Better U Beauty Barber Academy,Albuquerque,NM,1,"5400 Phoenix Ave NE Suite 105"
SANS Technology Institute,North Bethesda,MD,1,"11200 Rockville Pike, Suite 200"
Tuana European Beauty Academy,Fort Collins,CO,1,"826 S College Ave"
Idaho College of Osteopathic Medicine,Meridian,ID,4,"1401 East Central Drive"
Southern Careers Institute-Waco,Waco,TX,1,"3700 South IH-35 Suite A"
Elevate Salon Institute,Durham,NC,1,"300 East Main Street, #100"
Ponce Health Sciences University-St Louis,St. Louis,MO,4,"2351 Market St."
Lil Lou's Beauty and Barber College-Hammond,Hammond,IN,1,"5625 Hohman Avenue"
Arizona College of Nursing-Dallas,Dallas,TX,3,"8330 LBJ Freeway Suite 100"
The Salon Professional Academy-Washington DC,Washington,DC,1,"90 K Street North East"
Valley College-Cleveland,Cleveland,OH,1,"8700 Brookpark Road"
National American University-Kings Bay,Kings Bay,GA,3,"918 USS James Madison Road Bldg 1030"
EDP University of Puerto Rico-Humacao,Humacao,PR,2,"Antonio Lopez Street #4"
EDP University of Puerto Rico-Manati,Manati,PR,2,"McKinley street #52"
UEI College-Sacramento,Sacramento,CA,1,"4424 Florin Road, Suite D & E"
Fortis Institute-Cookeville,Cookeville,TN,1,"1025 Highway 111"
Derech Hachaim Seminary,Monroe,NY,1,"5A Israel Zupnick Drive"
Evvaylois Academy School of Beauty,Brenham,TX,1,"2244 South Market Street"
Avenue Five Institute-South Austin Campus,Austin,TX,1,"500 E Ben White Boulevard Bld E Ste 100"
Glasgow Caledonian New York College,New York,NY,4,"64 Wooster Street"
Pima Medical Institute-San Antonio,San Antonio,TX,1,"6550 First Park Ten Blvd"
Faith Theological Seminary and Christian College,Tampa,FL,1,"7607 Sheldon Road"
The Southwestern Baptist Theological Seminary,Fort Worth,TX,3,"2001 W. Seminary Dr."
Lotus Professional College,Richmond,VA,1,"8935 Patterson Avenue"
Christ Mission College,San Antonio,TX,3,"10822 FM 1560 North"
Esteem Academy of Beauty,South Ogden,UT,1,"1682 East 5600 South"
KC Beauty Academy,Los Angeles,CA,1,"706 East 1st Street"
Urshan College,Wentzville,MO,3,"155 Urshan Way"
Texas Healthtech Institute,Beaumont,TX,1,"9615 College Street"
Xtylo Beauty College,Phoenix,AZ,1,"2828 North 36th Street"
Tonsorial Arts Barber College,Texarkana,TX,1,"2831 New Boston Road"
Michael's Barber & Hair Stylist Academy,Irving,TX,1,"2413 West Airport Freeway"
Yeshiva Yesoda Hatorah Vetz Chaim,Brooklyn,NY,3,"27 Lee Avenue"
North-West College-San Diego,San Diego,CA,2,"6106 Arosa St"
West Virginia Junior College-United Career Institute,Irwin,PA,2,"8957 Lincoln Highway Suite 101-A"
Aviation Institute of Maintenance-Charlotte,Charlotte,NC,1,"7421 E. Independence Boulevard"
Ponce Health Sciences University-East,Ponce,PR,3,"Urb Villa Flores Calle Acacia #1213"
Fortis College-Landover,Landover,MD,1,"4351 Garden City Drive"
Stautzenberger College-Rockford Career College,Rockford,IL,1,"1130 South Alpine Road Suite 100"
WellSpring School of Allied Health-Wichita,Wichita,KS,1,"600 S Tyler Road"
Access Careers-Islandia,Islandia,NY,1,"1930 Veterans Highway, Suite 10"
California Arts University,Fullerton,CA,4,"4100 W. Commonwealth Ave. Suite 101"
Northern Pennsylvania Regional College,Warren,PA,1,"300 2nd Avenue, Suite 500"
American Medical Institute Inc.,Houston,TX,1,"6902 Cook Rd"
Apex College of Veterinary Technology,Colorado Springs,CO,2,"330 South El Paso Street"
Meryma'at Barber College,Cleveland,OH,1,"12825-27 Lorain Ave"
Western Maricopa Education Center,Glendale,AZ,1,"6997 N Glen Harbor Blvd"
Bais Medrash of Dexter Park,Chestnut Ridge,NY,2,"445 South Pascack Road"
Makana Esthetics Wellness Academy,Honolulu,HI,1,"560 N. Nimitz Hwy Ste 125D"
Oak Valley College,Rialto,CA,3,"2759 Ayala Drive"
Paul Mitchell the School-San Jose,San Jose,CA,1,"2200 Eastridge Loop, Unit #1004"
Zion Massage College,St. George,UT,1,"567 S. Valley View Dr. Suite 4"
Great Lakes Boat Building School,Cedarville,MI,1,"485 S. Meridian"
Austin Career Institute,Austin,TX,1,"7215 Cameron Rd"
Professional Culinary Academy,Buffalo,NY,1,"875 Elmwood Avenue"
Pacific Northwest Christian College,Kennewick,WA,2,"3021 West Clearwater Avenue"
Royal Learning Institute,New York,NY,1,"254 W. 29th St, 2nd Fl"
Hollywood Cultural College,Los Angeles,CA,1,"3450 Wilshire Boulevard Suite 700"
Mariano Moreno Culinary Institute,Miami,FL,1,"2135 Coral Way"
Alder Graduate School of Education,Redwood City,CA,4,"2946 Broadway"
Webb's Barber School of Arts,Macon,GA,1,"4356 Mercer University"
Adrian H. Wallace Barber Academy,Pensacola,FL,1,"3822 North 9th Avenue"
St. Louis Med Tech,St. Louis,MO,1,"59 Grasso Plaza"
Total Beauty Institute,Jacksonville,FL,1,"5308 North Pearl Street"
Pearlands Innovative School of Beauty,Pearland,TX,1,"9330 Broadway Street"
Durant Institute of Hair Design,Durant,OK,1,"2836 West University Boulevard"
Premiere Aesthetics Institute,Bend,OR,1,"1133 NW Wall St"
California Indian Nations College,Palm Desert,CA,2,"75080 Frank Sinatra Dr, Ste 222"
Indian Bible College,Flagstaff,AZ,2,"2237 East Cedar Avenue"
Florida Professional Institute,Miami,FL,1,"7951 SW 40 Street Suite 217"
The Professional Cosmetology Academy,Laredo,TX,1,"1407 Calle del Norte Suite 116"
Hackensack Meridian School of Medicine,Nutley,NJ,4,"123 Metro Boulevard"
Taylor Andrews Academy of Hair Design-Hair Lab Detroit Barber School,Southgate,MI,1,"15070 Dix Toledo Road"
Paul Mitchell the School-North Tahoe,Truckee,CA,1,"12047 Donner Pass Road Suite A 1"
Paul Mitchell the School-Fort Lauderdale,Plantation,FL,1,"8000 West Broward Boulevard Suite 1101"
PCI Academy-Iowa City,Iowa City,IA,1,"1550 South 1st Avenue"
Larry's Barber College,Chicago,IL,1,"701 E 79th St #709"
