INSTNM,CITY,STABBR,PREDDEG,ADDR
Glendale Career College,Glendale,CA,1,"240 North Brand Boulevard Lower Level"
Golden Gate University,San Francisco,CA,3,"536 Mission Street"
Golden West College,Huntington Beach,CA,2,"15744 Goldenwest St."
Graduate Theological Union,Berkeley,CA,4,"2400 Ridge Rd"
Grossmont College,El Cajon,CA,2,"8800 Grossmont College Dr"
Salon Success Academy-Riverside,Riverside,CA,1,"6780 Indiana Ave. Ste #200"
Hartnell College,Salinas,CA,2,"411 Central Avenue"
Harvey Mudd College,Claremont,CA,3,"301 Platt Blvd."
Hilltop Beauty School,Daly City,CA,1,"6317 Mission St"
Holy Names University,Oakland,CA,3,"3500 Mountain Blvd"
Pacifica Graduate Institute,Carpinteria,CA,4,"249 Lambert Rd"
California State Polytechnic University-Humboldt,Arcata,CA,3,"1 Harpst Street"
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,3,"6650 Inglewood Ave"
Imperial Valley College,Imperial,CA,2,"380 E. Aten Road"
Institute for Business and Technology,Santa Clara,CA,1,"2400 Walsh Avenue"
Interior Designers Institute,Newport Beach,CA,2,"1061 Camelback Street"
International School of Cosmetology,Los Angeles,CA,1,"464 N. Fairfax Ave"
Irvine Valley College,Irvine,CA,2,"5500 Irvine Center Drive"
Bellus Academy-El Cajon,El Cajon,CA,1,"1073 E Main St"
American Jewish University,Los Angeles,CA,3,"15600 Mulholland Dr"
Reedley College,Reedley,CA,1,"995 N Reed Ave"
Life Pacific University,San Dimas,CA,3,"1100 W. Covina Blvd."
University of La Verne,La Verne,CA,3,"1950 Third St"
Laguna College of Art and Design,Laguna Beach,CA,3,"2222 Laguna Canyon Rd"
Lake Tahoe Community College,South Lake Tahoe,CA,2,"One College Drive"
Lancaster Beauty School,Lancaster,CA,1,"44646 N 10th Street West"
Laney College,Oakland,CA,2,"900 Fallon Sreet"
Lassen Community College,Susanville,CA,2,"478-200 Hwy 139"
Latin American Bible Institute,La Puente,CA,2,"14209 East Lomitas Avenue"
Life Chiropractic College West,Hayward,CA,4,"25001 Industrial Blvd"
Lincoln University,Oakland,CA,3,"401 15th Street"
Southern California Seminary,El Cajon,CA,3,"2075 E. Madison Avenue"
La Sierra University,Riverside,CA,3,"4500 Riverwalk Parkway"
Loma Linda University,Loma Linda,CA,3,"11139 Anderson Street"
Long Beach City College,Long Beach,CA,1,"4901 E. Carson St."
Southern California University of Health Sciences,Whittier,CA,1,"16200 East Amber Valley Drive"
Los Angeles Harbor College,Wilmington,CA,2,"1111 Figueroa Place"
Los Angeles Pierce College,Woodland Hills,CA,2,"6201 Winnetka Ave"
Los Angeles Southwest College,Los Angeles,CA,2,"1600 W Imperial Hwy"
Los Angeles Trade Technical College,Los Angeles,CA,1,"400 W Washington Blvd"
Los Angeles Valley College,Valley Glen,CA,2,"5800 Fulton Avenue"
The Master's University and Seminary,Santa Clarita,CA,3,"21726 Placerita Canyon Road"
Los Angeles City College,Los Angeles,CA,1,"855 N Vermont Ave"
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,2,"1237 N. Mission Rd."
Los Angeles Mission College,Sylmar,CA,2,"13356 Eldridge Avenue"
