athlete_id,name,matched_university
63439,Mark Reynolds,San Diego State University
77848,Lorna Griffin,Seattle Pacific University
32952,Penny Stone,Florida State University
51461,Sammy Lee,Occidental College
51544,Keith Russell,Brigham Young University
32979,Joe Fitzgerald,Ithaca College
78726,Louis Madeira,University of Pennsylvania
40830,Steve Peterson,University of Rhode Island
78301,Otis Davis,University of Oregon
46006,Steve Pickell,University of Southern California
77895,Deby LaPlante,Eastern Michigan University
95270,Derek Mayer,University of Denver
100460,Cammi Granato,Providence College
902285,Bernie White,Harvard University
11167,Rich Weiss,Colorado School of Mines
95366,Nevill Melland,Trinity College
78243,Harvey Cohn,Dartmouth College
27811,Archie Roboostoff,University of San Francisco
31396,Steve Cohen,University of Pennsylvania
902519,Herb Fitzgibbon,Princeton University
27756,Mike Huwiler,Marquette University
79115,Morgan Taylor,Grinnell College
31480,Wayne Young,University of Utah
37311,Angus Gillan,Magdalen College
27698,Brian Bliss,Southern Connecticut State University
902395,Mike Milchin,Clemson University
77886,Kathy Kelley,Furman University
40452,Serena Eddy-Moulton,Boston College
27791,Shep Messing,New York University
62923,Kent Massey,Georgetown University
37383,Gilchrist Maclagan,Magdalen College
97648,Gordon Smith,Boston University
71412,Ajmer Singh,National University
921597,Quincy Porter,Vassar College
35152,Ernest Harmon,Norwich University
77975,Shelly Steely,University of Florida
97538,Dave Silk,Michigan State University
32962,Jim Buehning,Stevens Institute of Technology
78450,Johnny Gibson,Fordham University
922414,Fred Lord,Massachusetts Institute of Technology
890886,Bascom Johnson,University of Pennsylvania
40675,Gus Goetz,University of Pennsylvania
902532,Naim Hasan,Portland State University
53327,"Pete Velasco, Jr.",University of Denver
921508,Merrell Gage,University of Southern California
37292,Maxwell Eley,Trinity College
920266,Guy Ardilouze,University of Oregon
